index,tet_id,tet_name,event_name,event_timestamp,event_month,conversation_id,agent_id,agent_version_id,platform_name,message,invite_message,elapsed_ms,tool_name,tool_call_id,arguments_query,status_code,response,request,arguments_clientId,arguments_input.callerid
9619,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:00:51.244000+00:00,1/1/2025,4845c89f-e762-4628-ac01-4c03f1f7db6c,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,,,,,,,,,,,
9627,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:01:15.447000+00:00,1/1/2025,4845c89f-e762-4628-ac01-4c03f1f7db6c,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,,,71.61679,Post_CallData_Content,call_HWxUwHlRb2QWwfdnT1it72Mb,,200,<REDACTED>,<REDACTED>,,
9628,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:01:15.447000+00:00,1/1/2025,4845c89f-e762-4628-ac01-4c03f1f7db6c,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,,,,,,,,,,,
9636,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:05:33.784000+00:00,1/1/2025,63952302-6bc5-47ff-8237-33a26b362fce,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,Hi there! How can I assist you with your Mint Mobul needs today?,,645.27905,,,,,,,,
9637,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:05:33.784000+00:00,1/1/2025,63952302-6bc5-47ff-8237-33a26b362fce,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,<DATE> I bought,,,,,,,,,,
9648,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:06:41.927000+00:00,1/1/2025,9b138ed2-a13c-4d56-a0bc-85514f5eb6ff,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,Hey! Thanks for calling Mint Mobile. What can I help you with today?,<REDACTED>,,,,,,,,,
9649,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:06:41.927000+00:00,1/1/2025,9b138ed2-a13c-4d56-a0bc-85514f5eb6ff,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,Sure thing! Let me transfer you over to our customer service line. You'll hear a quick menu to get you where you need to be. Hold tight for just a moment!,,1840.4053,Post_CallData_Content,call_zqwvbX4zJRRiSGYy48ZFbeQt,,,,,MintMobile,+<ID>
9654,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:07:03.253000+00:00,1/1/2025,4ee94e16-0b69-4737-a2d2-9f6143bc0c36,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,,,,,,,,,,,
9655,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:07:03.253000+00:00,1/1/2025,4ee94e16-0b69-4737-a2d2-9f6143bc0c36,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,,,123.801926,Post_CallData_Content,call_AvWkSQjxV4tqA4RHeNObAaAN,,200,<REDACTED>,<REDACTED>,,
9659,355693f8-854f-4c66-b8f9-e9db30c8d5a0,mint-mobile,AGENT_TOOL_CALLED,2025-01-22 00:08:29.878000+00:00,1/1/2025,c3d4c070-ffdc-4bc5-a1fc-a7c39c6dec35,6dadf532-a855-472c-b510-633bfb06c916,13548,VG_PHONE,Hi there! How can I assist you today with your Mint Mobul service?,,488.96805,,,,,,,,
